dE_max_estimated,used_real_mask,valid_pixel_fraction,observed_baseline_rgb,n_baseline_pixels,correction_scale,correction_suspicious,n_valid_windows,n_blocks_dropped_as_implausible,max_dE_raw,part_id,image_filepath,well_size,truck_number,dE_max_measured,label
6.831241368617711,True,0.4214867862654321,"(np.float64(192.0), np.float64(166.0), np.float64(129.0))",12800,"(np.float64(1.0708333333333333), np.float64(1.180722891566265), np.float64(1.4488372093023256))",False,8755,0,19.447562398392417,146,training_set\images\image_00146.jpg,6024,112.0,3.9710838351591615,PASS
6.420903002549408,True,0.4214867862654321,"(np.float64(193.0), np.float64(167.0), np.float64(130.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.1736526946107784), np.float64(1.4376923076923078))",False,8755,0,16.61541095797667,147,training_set\images\image_00147.jpg,6024,112.0,2.9123976529342683,PASS
7.3932321927846445,True,0.4214867862654321,"(np.float64(192.0), np.float64(166.0), np.float64(129.0))",12800,"(np.float64(1.0708333333333333), np.float64(1.180722891566265), np.float64(1.4488372093023256))",False,8755,0,21.493233600676312,148,training_set\images\image_00148.jpg,6024,112.0,3.021214910963544,PASS
10.277449937664876,True,0.4214867862654321,"(np.float64(192.5), np.float64(167.0), np.float64(130.0))",12800,"(np.float64(1.068051948051948), np.float64(1.1736526946107784), np.float64(1.4376923076923078))",False,8755,7,33.246176080502444,149,training_set\images\image_00149.jpg,6024,112.0,2.5468490172808447,PASS
5.38909222493942,True,0.4214867862654321,"(np.float64(194.0), np.float64(168.0), np.float64(131.0))",12800,"(np.float64(1.0597938144329897), np.float64(1.1666666666666667), np.float64(1.4267175572519084))",False,8755,0,12.063588258238427,150,training_set\images\image_00150.jpg,6024,112.0,2.214093602588642,PASS
5.813339496500291,True,0.4214867862654321,"(np.float64(193.0), np.float64(167.5), np.float64(131.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.1701492537313434), np.float64(1.4267175572519084))",False,8755,0,17.021981955143193,151,training_set\images\image_00151.jpg,6024,112.0,2.3694414902884806,PASS
8.697829125750443,True,0.4214867862654321,"(np.float64(193.5), np.float64(168.0), np.float64(131.0))",12800,"(np.float64(1.062532299741602), np.float64(1.1666666666666667), np.float64(1.4267175572519084))",False,8755,7,33.73413307203474,152,training_set\images\image_00152.jpg,6024,112.0,1.7493876722174806,PASS
4.275056796749498,True,0.6222890142746914,"(np.float64(193.0), np.float64(167.0), np.float64(131.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.1736526946107784), np.float64(1.4267175572519084))",False,12878,0,7.486759366480203,153,training_set\images\image_00153.jpg,6038,112.0,2.07240197373936,PASS
3.850264288206203,True,0.6222890142746914,"(np.float64(194.0), np.float64(168.0), np.float64(132.0))",12800,"(np.float64(1.0597938144329897), np.float64(1.1666666666666667), np.float64(1.415909090909091))",False,12878,0,8.727604063247155,154,training_set\images\image_00154.jpg,6038,112.0,1.7954126320070536,PASS
5.62508741374433,True,0.6222890142746914,"(np.float64(195.5), np.float64(169.0), np.float64(132.0))",12800,"(np.float64(1.0516624040920717), np.float64(1.1597633136094674), np.float64(1.415909090909091))",False,12878,0,14.49662758364877,155,training_set\images\image_00155.jpg,6038,112.0,2.265482432635073,PASS
3.519315281080188,True,0.6222890142746914,"(np.float64(195.0), np.float64(169.0), np.float64(132.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1597633136094674), np.float64(1.415909090909091))",False,12878,0,6.7303359891547165,156,training_set\images\image_00156.jpg,6038,112.0,2.903544044566216,PASS
4.090048759089864,True,0.6222890142746914,"(np.float64(193.0), np.float64(168.0), np.float64(131.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.1666666666666667), np.float64(1.4267175572519084))",False,12878,0,8.819739873484908,157,training_set\images\image_00157.jpg,6038,112.0,1.6723752529883202,PASS
